record,n_samples,fs_(Hz),duration_(s),channels,start_time,end_time,duration_minus_10min_s
0427_080_080_ECG,363000,500,726.0,['ECG'],80:00:00,80:12:05,126.0
0427_081_080_ECG,1417500,500,2835.0,['ECG'],80:12:45,80:59:59,2235.0
0427_082_081_ECG,1800000,500,3600.0,['ECG'],81:00:00,81:59:59,3000.0
0427_083_082_ECG,1800000,500,3600.0,['ECG'],82:00:00,82:59:59,3000.0
0427_084_083_ECG,1800000,500,3600.0,['ECG'],83:00:00,83:59:59,3000.0
0427_085_084_ECG,383000,500,766.0,['ECG'],84:00:00,84:12:45,166.0
0427_086_084_ECG,1416000,500,2832.0,['ECG'],84:12:48,84:59:59,2232.0
0427_087_085_ECG,1800000,500,3600.0,['ECG'],85:00:00,85:59:59,3000.0
0427_088_086_ECG,1800000,500,3600.0,['ECG'],86:00:00,86:59:59,3000.0
0427_089_087_ECG,1800000,500,3600.0,['ECG'],87:00:00,87:59:59,3000.0
0427_090_088_ECG,332501,500,665.002,['ECG'],88:00:00,88:11:05,65.00199999999995
0427_091_088_ECG,803501,500,1607.002,['ECG'],88:11:06,88:37:53,1007.002
